kanji,heisigId,heisigKeyword,heisigCollisions,jpdbKeyword,jpdbCollisions
嫉,1820,envy,,hateful jealousy,
痢,1821,diarrhea,,diarrhea,
痕,1822,scar,,scar,
疲,1823,tired,,tired,
疫,1824,epidemic,,epidemic,
痛,1825,pain,,pain,
癖,1826,mannerism,,habit,
匿,1827,hide,,hide,
匠,1828,artisan,,craft,工
医,1829,doctor,,medical,
匹,1830,equal,均 等,small animal,
区,1831,ward,,district,
枢,1832,hinge,,hinge,
殴,1833,assault,襲,punch,
欧,1834,Europe,,Europe,
抑,1835,repress,,suppress,
仰,1836,faceup,,look up to,
迎,1837,welcome,,welcome,
登,1838,ascend,昇,climb,
澄,1839,lucidity,,clear,
発,1840,discharge,排,let out,
廃,1841,abolish,,unused,
僚,1842,colleague,,colleague,
瞭,1843,obvious,,unambiguous,
寮,1844,dormitory,,dormitory,
療,1845,heal,癒,therapy,
彫,1846,carve,,carve,
形,1847,shape,,shape,
影,1848,shadow,,shadow,
杉,1849,cedar,,cedar,
彩,1850,coloring,色,color scheme,
彰,1851,patent,,show publicly,
彦,1852,lad,,lad,
顔,1853,face,,face,
須,1854,ought,,necessary,
膨,1855,swell,,bulge,
参,1856,visit,,admit defeat,
惨,1857,wretched,,misery,
修,1858,discipline,,discipline (of study),
珍,1859,rare,稀,unusual,変
診,1860,checkup,,diagnose,
文,1861,sentence,,written sentence,
対,1862,vis-a-vis,,opposite,
紋,1863,family crest,,crest (often of a family),
蚊,1864,mosquito,,mosquito,
斑,1865,speckled,,spot,点
斉,1866,adjusted,,simultaneously,
剤,1867,dose,,chemical substance,
済,1868,finish,了,settle,粕
斎,1869,purification,,religious purification,
粛,1870,solemn,,restraint,
塁,1871,bases,,base,
楽,1872,music,,comfort,庸
薬,1873,medicine,,medicine,
率,1874,ratio,,ratio,
渋,1875,astringent,,bitter,辣
摂,1876,vicarious,,absorb (nutrients or knowledge),
央,1877,center,,center,
英,1878,England,,England,
映,1879,reflect,,reflect,
赤,1880,red,,red,
赦,1881,pardon,,pardon,
変,1882,unusual,珍,change,化
跡,1883,tracks,軌,traces (of something moving or being done),
蛮,1884,barbarian,夷,savage,
恋,1885,romance,,romantic love,
湾,1886,gulf,,gulf,
黄,1887,yellow,,yellow,
横,1888,sideways,,sideways,
把,1889,grasp,,grasp,
色,1890,color,彩,color,彩
絶,1891,discontinue,,cut off,
艶,1892,glossy,,glossy,
肥,1893,fertilizer,,fertilizer,
甘,1894,sweet,菓 飴,sweet,菓 飴
紺,1895,navy blue,,navy blue,
某,1896,so-and-so,,known but unnamed,
謀,1897,conspire,,conspire,
媒,1898,mediator,介,mediator,介
欺,1899,deceit,,deceive,
棋,1900,chess piece,駒,chess piece,駒
旗,1901,national flag,,flag,
期,1902,period,,period (of time),
碁,1903,Go,,Go (the game),
基,1904,fundamentals,,fundamental,
甚,1905,tremendously,,tremendously,
勘,1906,intuition,,intuition,
堪,1907,withstand,耐,endure,忍
貴,1908,precious,,noble,
遺,1909,bequeath,,legacy,
遣,1910,dispatch,,use (something intangible),
潰,1911,defile,,crush,
舞,1912,dance,踊,traditional dance,
無,1913,nothingness,,nothing,
組,1914,association,,organized group,
粗,1915,coarse,,rough,
租,1916,tariff,,tariff,
狙,1917,aim at,,aim at,
祖,1918,ancestor,,grandparent,
阻,1919,thwart,,get in one's way,
査,1920,investigate,,inspect,視
助,1921,help,,help,
宜,1922,best regards,,best regards,
畳,1923,tatami mat,,tatami mat,
並,1924,row,列 漕,line up,陳
普,1925,universal,,normal,
譜,1926,musical score,,record,録
湿,1927,damp,,moisture,
顕,1928,appear,,appear,
繊,1929,slender,,fiber-like,
霊,1930,spirits,気,ghost,鬼
業,1931,profession,,business,忙
撲,1932,slap,,hit (with a blunt object),
僕,1933,me,,me (boyish),
共,1934,together,,together,
供,1935,submit,,offer,牲 献
異,1936,uncommon,,different,差 違
翼,1937,wing,,wing,
戴,1938,accept humbly,,accept humbly,
洪,1939,deluge,,flood,
港,1940,harbor,,port,湊
暴,1941,outburst,,outburst,
爆,1942,bomb,,explosion,
恭,1943,respect,敬 謹,respectful,敬 謹
選,1944,elect,,select,
殿,1945,Mr.,,palace,
井,1946,well,,a well,
丼,1947,donburi,,rice bowl,
囲,1948,surround,,surround,
耕,1949,till,,plow (the soil),
亜,1950,Asia,,Asia,
悪,1951,bad,,bad,
円,1952,circle,丸 廻,one yen coin,
角,1953,angle,釣,angle,釣
触,1954,contact,,touch,接
解,1955,unravel,,unravel,
再,1956,again,,one more time,
講,1957,lecture,,lecture,
購,1958,subscription,,subscribe,
構,1959,posture,,be concerned about,
溝,1960,gutter,,ditch,堀
論,1961,argument,,argument,
倫,1962,ethics,,moral principles,
輪,1963,wheel,,ring,環
偏,1964,partial,,biased,
遍,1965,everywhere,,everywhere,
編,1966,compilation,撰,knit together,
冊,1967,tome,,volume (of a book),
柵,1968,palisade,,palisade,
典,1969,code,,canon,
氏,1970,family name,,family name,
紙,1971,paper,,paper,
婚,1972,marriage,,marriage,
低,1973,lower,,low,
抵,1974,resist,,resist,
底,1975,bottom,,bottom,
民,1976,people,,people,
眠,1977,sleep,,to sleep,
捕,1978,catch,,capture,囚
哺,1979,suckle,,suckle,
浦,1980,bay,,bay,
蒲,1981,bullrush,,cattail (a type of plant),
舗,1982,shop,店,store,店
補,1983,supplement,,supplementary,
邸,1984,residence,居,residence,居
郭,1985,enclosure,,enclosure,
郡,1986,county,,county,
郊,1987,outskirts,,outskirts,
部,1988,section,,section,
都,1989,metropolis,,metropolis,
郵,1990,mail,,mail,
邦,1991,home country,,home country,
那,1992,interrogative,,na!,
郷,1993,hometown,,hometown,
響,1994,echo,,echo,
郎,1995,son,,young guy,
廊,1996,corridor,,corridor,
盾,1997,shield,,shield,
循,1998,sequential,,sequential,
派,1999,faction,,belonging to a group,
脈,2000,vein,,vein,
衆,2001,masses,,a lot of people,
逓,2002,parcel post,,parcel post,
段,2003,grade,,step,踏
鍛,2004,forge,,forge,
后,2005,empress,,empress,
幻,2006,phantasm,,illusion,
司,2007,director,,boss,
伺,2008,pay respects,,inquire (humble),
詞,2009,parts of speech,,part of speech,
飼,2010,domesticate,,keep a pet,
嗣,2011,heir,,heir,
舟,2012,boat,,boat,
舶,2013,liner,,oceangoing ship,
航,2014,navigate,,navigation,
舷,2015,gunwale,,gunwale,
般,2016,carrier,,as any other,
盤,2017,tray,,plate,
搬,2018,conveyor,,haul,
船,2019,ship,,ship,
艦,2020,warship,,warship,
艇,2021,rowboat,,rowboat,
瓜,2022,melon,,melon,
弧,2023,arc,,arc,
孤,2024,orphan,,orphan,
繭,2025,cocoon,,cocoon,
益,2026,benefit,,benefit,
暇,2027,spare time,,free time,
敷,2028,spread,,spread out,
来,2029,come,,come,
気,2030,spirit,霊,state of mind,
汽,2031,vapor,,steam,蒸
飛,2032,fly,,fly,
沈,2033,sink,,sink,
枕,2034,pillow,,pillow,
妻,2035,wife,,wife,
凄,2036,nifty,,amazing,
衰,2037,decline,,decline,
衷,2038,inmost,,inmost,
面,2039,mask,,surface,表
麺,2040,noodles,,noodles,
革,2041,leather,,leather,
靴,2042,shoes,,shoes,
覇,2043,hegemony,,supremacy,
声,2044,voice,濁,voice,濁
眉,2045,eyebrow,,eyebrow,
呉,2046,give,,give,
娯,2047,recreation,,recreation,
誤,2048,mistake,,error,
蒸,2049,steam,汽,steamy,
承,2050,acquiesce,,to be told,
函,2051,bin,,shipping box,
極,2052,poles,竿,extreme,末
牙,2053,tusk,,fang,
芽,2054,bud,,bud,
邪,2055,wicked,芯,wicked,芯
雅,2056,gracious,,refined,研 精
釈,2057,interpretation,揖,explanation,説
番,2058,turn,,place in a series,
審,2059,hearing,聞,explain in detail,
翻,2060,flip,,flip over,
藩,2061,clan,,feudal clan,
毛,2062,fur,,fur,
耗,2063,decrease,,decrease,
尾,2064,tail,,tail,
宅,2065,home,,home,
託,2066,consign,,entrust,嘱
為,2067,do,,for the sake of,
偽,2068,falsehood,詐,fake,
畏,2069,apprehensive,,apprehensive,
長,2070,long,欲 竪,long,欲 竪
張,2071,lengthen,,lengthen,
帳,2072,notebook,,notebook,
脹,2073,dilate,,dilate,
髪,2074,hair of the head,,hair,
展,2075,unfold,,exhibit,
喪,2076,miss,,loss of something dear,
巣,2077,nest,,nest,
単,2078,simple,簡,single,独
戦,2079,war,,war,
禅,2080,Zen,,Zen,
弾,2081,bullet,,bullet,
桜,2082,cherry tree,,cherry tree,
獣,2083,animal,,beast,
脳,2084,brain,,brain,
悩,2085,trouble,,worry,
厳,2086,stern,,strict,堅
鎖,2087,chain,,chain,
挙,2088,raise,,raise and present,
誉,2089,reputation,,honor,御
猟,2090,game hunting,,hunt wildlife,
鳥,2091,bird,,bird,
鳴,2092,chirp,,to ring,
鶴,2093,crane,,crane,
烏,2094,crow,,crow,
蔦,2095,vine,,vine,
鳩,2096,pigeon,,pigeon,
鶏,2097,chicken,,chicken,
島,2098,island,,island,
暖,2099,warmth,,warm,温
媛,2100,beautiful woman,,woman of noble birth,
援,2101,abet,,assist,佐
緩,2102,slacken,,become loose,
属,2103,belong,,belong to,
嘱,2104,entrust,託,request,求
偶,2105,accidentally,,occasional,
遇,2106,interview,,encounter,遭
愚,2107,foolish,,foolish,
隅,2108,corner,,corner (of a room),
逆,2109,inverted,,reverse,
塑,2110,model,型,take form,
遡,2111,go upstream,,go upstream,
岡,2112,Mount,,rising ground,
鋼,2113,steel,,steel,
綱,2114,hawser,,sumo belt,
剛,2115,sturdy,,sturdy,
缶,2116,tin can,,tin can,
陶,2117,pottery,,pottery,
揺,2118,swing,,shake,振
謡,2119,Noh chanting,,noh chanting,
鬱,2120,gloom,,low spirits,
就,2121,concerning,,set about,
蹴,2122,kick,,kick,
懇,2123,sociable,,sincere,誠
墾,2124,groundbreaking,,groundbreaking,
貌,2125,countenance,,facial features,
免,2126,excuse,,be exempt,
逸,2127,elude,遁,deviate (from something),
晩,2128,nightfall,,evening (after sunset),
勉,2129,exertion,,try hard,
象,2130,elephant,,elephant,
像,2131,statue,,statue,
馬,2132,horse,,horse,
駒,2133,pony,,chess piece,棋
験,2134,verification,,verification,
騎,2135,equestrian,,horseman,
駐,2136,parking,園,stop and park,
駆,2137,drive,,to dash,
駅,2138,station,,train station,
騒,2139,boisterous,,make noise,
駄,2140,burdensome,,low quality,
驚,2141,wonder,,surprise,
篤,2142,fervent,,fervent,
罵,2143,insult,,insult,
騰,2144,inflation,,inflation,
虎,2145,tiger,,tiger,
虜,2146,captive,,captive,
膚,2147,skin,肌,skin (medical),
虚,2148,void,,without a physical form,
戯,2149,frolic,,playful,遊
虞,2150,uneasiness,,uneasiness,
慮,2151,prudence,,consider carefully,
劇,2152,drama,,drama,
虐,2153,tyrannize,,oppress,
鹿,2154,deer,,deer,
麓,2155,foot of a mountain,,foot of a mountain,
薦,2156,recommend,,recommend (something or someone),
慶,2157,jubilation,,congratulate,賀
麗,2158,lovely,愛,lovely,愛
熊,2159,bear,,bear,
能,2160,ability,,ability,
態,2161,attitude,,seems like,
寅,2162,sign of the tiger,,sign of the tiger,
演,2163,performance,,performance,
辰,2164,sign of the dragon,,sign of the dragon,
辱,2165,embarrass,羞,disgrace,
震,2166,quake,,tremors,
振,2167,shake,揺,to wave,
娠,2168,with child,,be pregnant,
唇,2169,lips,,lips,
農,2170,agriculture,,farming,畑
濃,2171,concentrated,,thick (consistency),
送,2172,send off,,send something,
関,2173,connection,,connected to,
咲,2174,blossom,,blossom,
鬼,2175,ghost,霊,oni,
醜,2176,ugly,,ugly,
魂,2177,soul,,soul,
魔,2178,witch,,demon,
魅,2179,fascination,,charm,嬌
塊,2180,clod,,lump,
襲,2181,attack,攻,assault,殴
嚇,2182,upbraid,,intimidate,威
朕,2183,majestic plural,,majestic plural,
雰,2184,atmosphere,,atmosphere,
箇,2185,item,,item,
錬,2186,tempering,,temper,
遵,2187,abide by,,conform,
罷,2188,quit,,to cease,
屯,2189,barracks,,barracks,
且,2190,moreover,,there is more,
藻,2191,seaweed,,seaweed,
隷,2192,slave,,slave,
癒,2193,healing,療,heal,療
璽,2194,imperial seal,,imperial seal,
潟,2195,lagoon,,lagoon,
丹,2196,cinnabar,,rust colored,
丑,2197,sign of the cow,,sign of the cow,
羞,2198,humiliate,,embarrassment,辱
卯,2199,sign of the hare,,sign of the hare,
巳,2200,sign of the snake,,sign of the snake,
此,2201,this here,,this here,
柴,2202,brushwood,,brushwood,
些,2203,whit,,whit,
砦,2204,fort,,fort,
髭,2205,beard,,beard,
禽,2206,fowl,,fowl,
檎,2207,apple,,apple,
憐,2208,sympathize with,,sympathize with,
燐,2209,phosphorus,,phosphorus,
麟,2210,camelopard,,camelopard,
鱗,2211,scaled,,scaled,
奄,2212,encompassing,,obstruct (by covering),
庵,2213,hermitage,,hermitage,
掩,2214,shrouded,,concealed,隠
悛,2215,make amends,,make amends,
駿,2216,steed,,excellent horse,
峻,2217,steep,,steep mountain,
竣,2218,complete a job,,complete a job,
犀,2219,rhinoceros,,rhinoceros,
皐,2220,lunar month,,lunar month,
畷,2221,rice-field footpath,,rice-field footpath,
綴,2222,mend,,mend,
鎧,2223,suit of armor,,suit of armor,
凱,2224,triumph,,triumph,
呑,2225,quaff,,swallow whole,
韮,2226,leek,,leek,
籤,2227,lottery,,lottery,
懺,2228,penitential,,penitential,
芻,2229,hay,,hay,
雛,2230,chick,,chick,
趨,2231,scurry,,run towards,
尤,2232,understandably,,plausible,
厖,2233,immense,,immense,
或,2234,a  (a certain),,a certain,
兎,2235,rabbit,,rabbit,
也,2236,est,,to be (archaic),
巴,2237,comma-design,,swirly pattern,
疋,2238,critters,,small animal (archaic),
菫,2239,violet,,violet,
曼,2240,mandala,,mandala,
云,2241,quote,,quote,
莫,2242,shalt,,want not,
而,2243,and then,,and then,
倭,2244,Yamato,,Yamato,
侠,2245,chivalry,,chivalry,
倦,2246,fed up,,be tired of and have enough,
俄,2247,abrupt,,abrupt,
佃,2248,work a field,,work a field,
仔,2249,animal offspring,,animal offspring,
仇,2250,foe,,foe,
伽,2251,look after,,look after,
儲,2252,make a profit,,make a profit,
僑,2253,emigrant,,emigrant,
倶,2254,mate,,mate,
侃,2255,forthright,,integrity,
偲,2256,memorial,憶,memorial,憶
侭,2257,as is,,as is,
脩,2258,dried meat,,dried meat,
倅,2259,my son,,my son,
做,2260,make do,,make do,
冴,2261,sharp,鋭,clarity,
凋,2262,wilt,,wilt,
凌,2263,pull through,,pull through,
凛,2264,stately,州,stately,州
凧,2265,kite,,kite,
凪,2266,lull,,lull,
夙,2267,earlybird,,earlybird,
鳳,2268,phoenix,,phoenix,
剽,2269,menace,,threat,
劉,2270,slaughter,,slaughter,
剃,2271,shave,,shave,
厭,2272,despondent,,be bored of and have enough,
雁,2273,wild goose,,wild goose,
贋,2274,counterfeit,,counterfeit,
厨,2275,kitchen,,kitchen,
仄,2276,insinuate,,insinuate,
哨,2277,scout,,scout,
咎,2278,reprehend,,reprehend,
囁,2279,whisper,,whisper,
喋,2280,chatter,,chat,
嘩,2281,quarrel,,quarrel,
噂,2282,gossip,,rumor,
咳,2283,cough,,cough,
喧,2284,clamor,,noisy,
叩,2285,bash,,hit (with a hand),
嘘,2286,fib,,lie,詐
啄,2287,peck at,,peck at,
吠,2288,barking,,barking,
吊,2289,dangle,,dangle,
噛,2290,chew,,bite,
叶,2291,within my ability,,become true (a wish or a prayer),
吻,2292,sides of the mouth,,sides of the mouth,
吃,2293,stammer,,stammer,
噺,2294,spin a tale,,spin a tale,
噌,2295,miso,,miso,
邑,2296,city walls,,city walls,
呆,2297,dumbfounded,,dumbfounded,
喰,2298,ingest,,feed on (something),
埴,2299,clay,,clay,
坤,2300,authochthonous,,authochthonous,
壕,2301,dugout,,trench (not filled with water),
垢,2302,blemish,,filth,
坦,2303,flat,平 軒,even,夕 平
埠,2304,wharf,,wharf,
堰,2305,dam,,dam,
堵,2306,railing,,railing,
嬰,2307,suckling infant,,suckling infant,
姦,2308,violate,,violate,
婢,2309,handmaiden,,handmaiden,
婉,2310,well finished,,graceful,恩 淑
娼,2311,harlot,,whore,
妓,2312,courtesan,,courtesan,
娃,2313,fair,,fair,
姪,2314,niece,,niece,
嬬,2315,mistress,,mistress,
姥,2316,aged woman,,elderly woman,
姑,2317,mother-in-law,,mother-in-law,
姐,2318,young miss,,young miss,
嬉,2319,overjoyed,,delighted,歓
孕,2320,expecting,,be filled with,
孜,2321,assiduous,,assiduous,
宥,2322,soothe,,soothe,
寓,2323,imply,,imply,
宏,2324,extensive,,extensive,
牢,2325,jail,,jail,
宋,2326,Sung dynasty,,Sung dynasty,
宍,2327,venison,,venison,
屠,2328,butchering,,butcher,
屁,2329,fart,,fart,
屑,2330,rubbish,,rubbish,
屡,2331,frequently,,frequently,
屍,2332,corpse,,corpse,
屏,2333,folding screen,,folding screen,
嵩,2334,high-reaching,,high-reaching,
崚,2335,rugged mountains,,rugged mountains,
嶺,2336,mountaintop,,mountain ridge,
嵌,2337,fit into,,fit into,
帖,2338,quire,,quire,
幡,2339,banner,,banner,
幟,2340,pennant,,pennant,
庖,2341,cleaver,,cleaver,
廓,2342,licensed quarters,,licensed quarters,
庇,2343,overhang,,overhang,
鷹,2344,hawk,,hawk,
庄,2345,shire,,manor,
廟,2346,tomb sanctuary,,tomb sanctuary,
彊,2347,strengthen,,strengthen,
弛,2348,loosen,,relax (tension),
粥,2349,rice gruel,,rice gruel,
挽,2350,lathe,,lathe,
撞,2351,bump into,,bump into,
扮,2352,disguise,,disguise,
捏,2353,fabrication,築 涅,knead,
掴,2354,clutch,,grab,采
捺,2355,impress,,impress into,
掻,2356,scratch,,to scratch,
撰,2357,assortment,,compilation,編
揃,2358,muster,,make a full set,
捌,2359,deal with,,deal with,
按,2360,press down on,,press down on,
播,2361,disseminate,,disseminate,
揖,2362,collect,採,interpretation,釈
托,2363,receptacle,,receptable,
捧,2364,devote,執,dedicate with both hands,
撚,2365,twirl,,twirl,
挺,2366,counter for tools,,counter for tools,
擾,2367,commotion,,commotion,
撫,2368,petting,,petting,
撒,2369,sprinkle,,sprinkle,
擢,2370,outstanding,,outstanding,
摺,2371,rubbing,抹 擦,rub and leave material,
捷,2372,spoils,,spoils,
抉,2373,gouge out,,take out what's buried inside,
怯,2374,wince,,recoil in fear,
惟,2375,ponder,,ponder,
惚,2376,infatuation,,fall in love,
怜,2377,quickwitted,,quickwitted,
惇,2378,considerate,,considerate,
恰,2379,as if,,as if,
恢,2380,enlarge,,enlarge,
悌,2381,respect for elders,,respect for elders,
澪,2382,canal,,canal,
洸,2383,glistening,,glistening,
滉,2384,bounding main,,bounding main,
漱,2385,gargle,,gargle,
洲,2386,continent,,sandbank,
洵,2387,swirling waters,,swirling waters,
滲,2388,seep,,seep,
洒,2389,rinse,,rinse,
沐,2390,douse,,douse,
泪,2391,teardrops,,teardrops,
渾,2392,gushing,,gushing,
涜,2393,blaspheme,,desecrate,
梁,2394,roofbeam,,roof beam,
澱,2395,sediment,,sediment,
洛,2396,old Kyoto,,old capital,
汝,2397,thou,,thou,
漉,2398,filter,,filter,
瀕,2399,on the verge of,,on the verge of,
濠,2400,moat,堀,trench (filled with water),
溌,2401,spray,,spray,
湊,2402,port,港,piece together,
淋,2403,solitude,,solitude,
浩,2404,abounding,,vast and great,
汀,2405,water’s edge,,water’s edge,
鴻,2406,large goose,,large goose,
潅,2407,souse,,souse,
溢,2408,brimming,,overflow,濫
湛,2409,inundate,,inundate,
淳,2410,immaculate,,immaculate,
渥,2411,moisten,,moisten,
灘,2412,rough seas,,rough seas,
汲,2413,draw water,,draw water,
瀞,2414,river pool,,river pool,
溜,2415,cumulation,,accumulate,累
渕,2416,abyss,,abyss,
沌,2417,chaos,乱,primeval chaos,
濾,2418,strainer,,strainer,
濡,2419,drench,,get wet,
淀,2420,eddy,,stagnate,滞
涅,2421,black soil,,fabrication,築 捏
斧,2422,hatchet,,hatchet,
爺,2423,grandpa,,old geezer,
猾,2424,sly,,sly,
猥,2425,indecent,,indecent,
狡,2426,cunning,,cunning,
狸,2427,racoon dog,,racoon dog,
狼,2428,wolf,,wolf,
狽,2429,flustered,慌,lose one's presence of mind,
狗,2430,pup,,pup,
狐,2431,fox,,fox,
狛,2432,a-un,,a-un,
獅,2433,lion,,lion,
狒,2434,baboon,,baboon,
莨,2435,tobacco,,tobacco,
茉,2436,jasmine,,jasmine,
莉,2437,hawthorn,,hawthorn,
苺,2438,strawberry,,strawberry,
萩,2439,bush clover,,bush clover,
藝,2440,technique (old),,art [old],
薙,2441,trim,刈,mow down,
蓑,2442,straw raincoat,,straw raincoat,
苔,2443,moss,,moss,
蕩,2444,prodigal,,prodigal,
蔓,2445,tendril,,tendril,
蓮,2446,lotus,,lotus (a type of flower),
芙,2447,lotus flower,,lotus flower,
蓉,2448,lotus blossom,,lotus blossom,
蘭,2449,orchid,,orchid,
芦,2450,hollow reed,,hollow reed,
薯,2451,yam,,yam,
菖,2452,iris,,iris (flower),
蕉,2453,banana,,banana,
蕎,2454,buckwheat,,buckwheat,
蕗,2455,butterbur,,butterbur,
茄,2456,eggplant,,eggplant,
蔭,2457,behind the scenes,,shaded by grass,
蓬,2458,wormwood,,wormwood,
芥,2459,mustard,,trash,
萌,2460,germinate,,sprout,
葡,2461,grape,,grape,
萄,2462,grape vine,,grape vine,
蘇,2463,resurrect,,resurrect,
蕃,2464,grow wild,,grow wild,
苓,2465,cocklebur,,cocklebur,
菰,2466,rush mat,,rush mat,
蒙,2467,darken,,ignorance,
茅,2468,grassy reed,,grassy reed,
芭,2469,plantain,,plantain,
苅,2470,mow,,trim grass,
葱,2471,onion,,onion,
葵,2472,hollyhock,,hollyhock,
葺,2473,shingling,,shingling,
蕊,2474,stamen,,stamen,
茸,2475,mushroom,,mushroom,
蒔,2476,sowing,,sow seeds,
芹,2477,parsley,,parsley,
苫,2478,thatching,,thatching,
蒼,2479,pale blue,,pale blue,
藁,2480,straw,,straw,
蕪,2481,turnip,,turnip,
藷,2482,sweet potato,,sweet potato,
薮,2483,quack,,quack,
蒜,2484,garlic,,garlic,
蕨,2485,bracken,,bracken,
蔚,2486,grow plentiful,,grow plentiful,
茜,2487,madder red,,madder red,
莞,2488,candle rush,,smile sweetly,
蒐,2489,collector,,collector,
菅,2490,sedge,,sedge (a type of plant),
葦,2491,ditch reed,,ditch reed,
迪,2492,Way,,road to enlightenment,
辿,2493,track down,,track down,
這,2494,crawl,,crawl,
迂,2495,detour,,detour,
遁,2496,shirk,,elude,逸
逢,2497,tryst,,meet face-to-face,
遥,2498,far off,,far off,
遼,2499,faraway,,remote,悠
逼,2500,pressing,,pressing,
迄,2501,until,,until,
逗,2502,standstill,,standstill,
鄭,2503,courtesy,,courtesy,
隕,2504,falling,落,meteorite,
隈,2505,nook,,nook,
憑,2506,possessed,有,possessed,有
惹,2507,attract,嬌,attract,嬌
悉,2508,without exception,,without exception,
忽,2509,instantaneously,,instantaneously,
惣,2510,firstborn son,,firstborn son,
愈,2511,in the nick of time,,in the nick of time,
恕,2512,sensitive,,sensitive,
昴,2513,overarching,,overarching,
晋,2514,progress,,Jin dynasty,
晟,2515,aglow,,aglow,
暈,2516,halo,,halo,
暉,2517,glitter,,glitter,
旱,2518,dry weather,,dry weather,
晏,2519,clear skies,,clear skies,
晨,2520,morrow,,morrow,
晒,2521,bleaching,,bleaching,
晃,2522,limpid,,sun rays,
曝,2523,air out,,exposure,
曙,2524,dawn,暁,daybreak,暁
昂,2525,elevate,,get worked up,
昏,2526,dusk,,lose consciousness,
晦,2527,last day of the month,,last day of the month,
膿,2528,pus,,pus,
腑,2529,viscera,,viscera,
胱,2530,bladder,,bladder,
胚,2531,embryo,,embryo,
肛,2532,anus,,anal,
脆,2533,fragile,,fragile,
肋,2534,rib,,rib,
腔,2535,body cavity,,body cavity,
肱,2536,armrest,,armrest,
胡,2537,uncivilized,,ancient barbarian,
楓,2538,maple tree,,maple tree,
楊,2539,purple willow,,purple willow,
椋,2540,Oriental elm,,Oriental elm,
榛,2541,hazel,,hazel (a type of small tree),
櫛,2542,comb,,comb,
槌,2543,wooden hammer,,wooden hammer,
樵,2544,mallet,,mallet,
梯,2545,ladder,,ladder,
柑,2546,citrus tree,,citrus tree,
杭,2547,picket,,picket,
柊,2548,holly,,holly,
柚,2549,citron,,citron,
椀,2550,wooden bowl,,wooden bowl,
栂,2551,hemlock,,hemlock,
柾,2552,spindle tree,,spindle tree,
榊,2553,sacred tree,,sacred tree,
樫,2554,evergreen oak,,evergreen oak,
槙,2555,black pine,,Chinese black pine,
楢,2556,Japanese oak,,Japanese oak,
橘,2557,mandarin orange,,mandarin orange,
桧,2558,Japanese cypress,,Japanese cypress,
棲,2559,roost,,inhabit,
栖,2560,nestle,,inhabit a nest,
桔,2561,bellflower,,bellflower,
杜,2562,temple grove,,temple grove,
杷,2563,grain rake,,farmer's rake,
梶,2564,oar,,oar,
杵,2565,wooden pestle,,wooden pestle,
杖,2566,cane,,cane,
樽,2567,barrel,,barrel,
櫓,2568,turret,,watchtower (with archers),
橿,2569,sturdy oak,,sturdy oak,
杓,2570,wooden ladle,,wooden ladle,
李,2571,damson,,plum,梅
棉,2572,raw cotton,,raw cotton,
楯,2573,escutcheon,,wooden shield,
榎,2574,hackberry,,hackberry,
樺,2575,birch,,birch,
槍,2576,lance,,spear,
柘,2577,wild mulberry,,wild mulberry,
梱,2578,bale,,bale,
枇,2579,loquat,,loquat,
樋,2580,downspout,,downspout,
橇,2581,sled,,sled,
槃,2582,enjoyment,,enjoyment,
栞,2583,bookmark,,bookmark,
椰,2584,coconut tree,,coconut tree,
檀,2585,sandalwood,,sandalwood,
樗,2586,sumac,,plotosid,
槻,2587,zelkova,,zelkova,
椙,2588,cryptomeria,,cryptomeria,
彬,2589,copious,,copious,
桶,2590,bucket,,bucket,
楕,2591,ellipse,,ellipse,
樒,2592,star-anise,,star-anise,
毬,2593,furball,,furball,
燿,2594,twinkle,,twinkle,
燎,2595,watchfire,,watchfire,
炬,2596,torch,,torch,
焚,2597,kindle,,kindle,
灸,2598,moxa,,moxa,
煽,2599,fanning,扇,fan flames,
煤,2600,soot,,soot,
煉,2601,firing,火,refine over a flame,
燦,2602,dazzling,眩,brilliant,
灼,2603,refulgent,,refulgent,
烙,2604,branding,,branding,
焔,2605,flames,,flames,
烹,2606,stew,,stew,
牽,2607,tug,,tug,
牝,2608,female animal,,female animal,
牡,2609,male animal,,male animal,
琳,2610,chime,,chime,
琉,2611,lapis lazuli,,lapis lazuli,
瑳,2612,burnish,,burnish,
琢,2613,hone,,hone,
珊,2614,coral,,coral,
瑚,2615,coral reef,,coral reef,
瑞,2616,fortunate,,good omen,
玖,2617,jet,,jet,
瑛,2618,crystal stone,,crystal stone,
玲,2619,tinkling,,tinkling,
畢,2620,lastly,,lastly,
畦,2621,paddy-field ridge,,paddy-field ridge,
痒,2622,itch,,itch,
痰,2623,phlegm,,phlegm,
疹,2624,measles,,skin rash,
痔,2625,hemorrhoids,,hemorrhoids,
癌,2626,cancer,,cancer,
痺,2627,paralysis,,paralysis,
眸,2628,apple of the eye,,iris (of eye),
眩,2629,dizzy,,dazzling,燦
雉,2630,pheasant,,pheasant,
矩,2631,carpenter’s square,,carpenter’s square,
磐,2632,crag,,large rock in which the gods dwell,
碇,2633,grapnel,,grapnel,
碧,2634,blue-green,,blue-green,
硯,2635,inkstone,,inkstone,
砥,2636,grindstone,,whetstone,砺
碗,2637,teacup,,teacup,
碍,2638,obstacle,,obstacle,
碩,2639,illustrious,,illustrious,
磯,2640,rocky beach,,rocky beach,
砺,2641,whetstone,砥,whetstone,砥
碓,2642,mill,,mill,
禦,2643,fend off,,fend off,
祷,2644,beseech,,beseech,
祐,2645,ancestral tablet,,ancestral tablet,
